mjd, filter, maglim 
58726.2366036, i, 24.2411915126673 
58726.22747708, i, 24.08250031241 
58726.23977632, i, 24.1861541918711 
58726.24853861, i, 24.2018230925174 
58726.23977632, i, 24.1663611257669 
58726.23977632, i, 24.1866380544217 
58726.23372955, i, 24.2168610831204 
58726.23977632, i, 24.1336488759861 
58726.23977632, i, 24.1097345867485 
58726.23977632, i, 24.1238529311614 
58726.23977632, i, 24.1326271545504 
58726.25475886, i, 24.1681313042409 
58726.23977632, i, 24.1710059457466 
58726.22747708, i, 24.1530220433867 
58726.24853861, i, 24.2155269510799 
58726.23372955, i, 24.1857003347313 
58726.20954285, i, 24.0179390805913 
58726.22747708, i, 24.1566272307829 
58726.22747708, i, 24.1566304125545 
58726.22747708, i, 24.1741320625528 
58726.23977632, i, 24.1820699010063 
58726.22747708, i, 24.1419604604296 
58726.24853861, i, 24.1805887735266 
58726.24853861, i, 24.1825177118986 
58726.24853861, i, 24.2479642412986 
58726.22747708, i, 24.1376397764272 
58726.22747708, i, 24.1404405547098 
58726.25475886, i, 24.3667565542727 
58726.23977632, i, 24.1881497017427 
58726.24853861, i, 24.2379671428123 
58726.20954285, i, 24.0045759041772 
58726.20954285, i, 24.0397500518337 
58726.20954285, i, 23.9598169120619 
58726.22747708, i, 24.1308059111286 
58726.20954285, i, 24.032347204372 
58726.20954285, i, 23.9897072013809 
58726.24853861, i, 24.225561376737 
58726.22747708, i, 24.1173789352716 
58726.20954285, i, 24.0257908578577 
58726.22747708, i, 24.1343060600266 
58726.23372955, i, 24.1827503318567 
58726.23372955, i, 24.2092822173574 
58726.25475886, i, 24.2709502397874 
58726.23977632, i, 24.159487776545 
58726.24853861, i, 24.2166270834674 
58726.24853861, i, 24.2065363223739 
58726.24853861, i, 24.1973406392768 
58726.24853861, i, 24.2612837434627 
58726.24853861, i, 24.2235330868876 
58726.24853861, i, 24.1831270690708 
58726.23977632, i, 24.1544345314709 
58726.24853861, i, 24.2060005639565 
58726.24853861, i, 24.2198119069988 
58726.23977632, i, 24.1820526467031 
58726.23977632, i, 24.1490360079815 
58726.23977632, i, 24.1061507670706 
58726.25475886, i, 24.2962452263729 
58726.20954285, i, 24.039822804193 
58726.23372955, i, 24.1849376649246 
58726.22456902, i, 24.3502412170975 
58726.22747708, i, 24.1955328648971 
58726.22747708, i, 24.1247765520597 
58726.22747708, i, 24.1625266431008 
58726.22747708, i, 24.147024883241 
58726.21880039, i, 24.3245850472666 
58726.23977632, i, 24.1574144598853 
58726.20954285, i, 24.017260070861 
58726.20954285, i, 24.0505111555877 
58726.20954285, i, 24.0317478554201 
58726.25475886, i, 24.213433203774 
58726.20954285, i, 23.9879448038015 
58726.22747708, i, 24.1605039710134 
58726.20954285, i, 23.9616155763054 
58726.20954285, i, 23.9660728336716 
58726.20954285, i, 24.0589973567603 
58726.22456902, i, 24.3703175097025 
58726.23977632, i, 24.1654781767606 
58726.23977632, i, 24.0656357715724 
58726.25475886, i, 24.2398257087746 
58726.20954285, i, 23.9815115680164 
58726.22456902, i, 24.3796038342295 
58726.23977632, i, 24.154758520425 
58726.20954285, i, 24.0426587746033 
58726.20954285, i, 24.0253265219834 
58726.22747708, i, 24.1868403281571 
58726.20954285, i, 24.0488330648683 
58726.20954285, i, 23.92552622764 
58726.20954285, i, 23.9818587520482 
58726.25475886, i, 24.2594848164085 
58726.25475886, i, 24.3530035542103 
58726.25475886, i, 24.2453686911835 
58726.25475886, i, 24.2207922111103 
58726.23977632, i, 24.1647032014965 
58726.2366036, i, 24.2586786412194 
58726.25475886, i, 24.2949504178576 
58726.22747708, i, 24.1366406265272 
58726.20954285, i, 24.0487905932509 
58726.23372955, i, 24.2336777186307 
58726.22747708, i, 24.0914361159205 
58726.22747708, i, 24.1418871126404 
58726.22747708, i, 24.10619981672 
58726.22747708, i, 24.1208032240829 
58726.20377218, i, 23.8021294004991 
58726.23977632, i, 24.155019406949 
58726.25475886, i, 24.3456333045054 
58726.22747708, i, 24.1152863477908 
58726.22747708, i, 24.11162893383 
58726.22747708, i, 24.1795243122257 
58726.22747708, i, 24.151171985987 
58726.25475886, i, 24.2672064581842 
58726.20954285, i, 24.0173208961977 
58726.20954285, i, 24.0440115906225 
58726.23977632, i, 24.1991019556431 
58726.23034788, i, 24.1508882069831 
58726.23034788, i, 24.1937902795333 
58726.23977632, i, 24.16236130649 
58726.23977632, i, 24.1404662884069 
58726.23977632, i, 24.1974604328705 
58726.25475886, i, 24.294182134714 
58726.23034788, i, 24.1680279415749 
58726.22747708, i, 24.1336840526043 
58726.20954285, i, 24.0423156237372 
58726.20954285, i, 24.0172082164034 
58726.22747708, i, 24.1683996798097 
58726.20954285, i, 23.9957091229671 
58726.25475886, i, 24.3315859952255 
58726.23034788, i, 24.1758340759927 
58726.20954285, i, 23.9257138583212 
58726.20377218, i, 23.8036708070213 
58726.22747708, i, 24.19025076301 
58726.23034788, i, 24.1018033561963 
58726.20954285, i, 24.0338329081479 
58726.23372955, i, 24.2032641381244 
58726.22456902, i, 24.397713726567 
58726.25475886, i, 24.3407051414476 
58726.25475886, i, 24.3541164910309 
58726.20954285, i, 24.0221051356283 
58726.20377218, i, 23.7477849853943 
58726.20954285, i, 24.0008265581142 
58726.22456902, i, 24.2487105917606 
58726.2366036, i, 24.2236544939382 
58726.23372955, i, 24.1932040583245 
58726.23034788, i, 24.1181928406304 
58726.23372955, i, 24.2066297256017 
58726.23034788, i, 24.0712708720121 
58726.23034788, i, 24.1560536007968 
58726.23034788, i, 24.1440138898079 
58726.23034788, i, 24.1132231917734 
58726.23034788, i, 24.1423515134481 
58726.20954285, i, 24.0659888182098 
58726.23977632, i, 23.4927863526607 
58726.23034788, i, 24.1238213535479 
58726.20954285, i, 24.0493264202976 
58726.22456902, i, 24.3840459269685 
58726.23372955, i, 24.2195914923592 
58726.20954285, i, 23.9896725200654 
58726.25475886, i, 24.2791713904987 
58726.25475886, i, 24.3703694587971 
58726.25475886, i, 24.2532551420597 
58726.25475886, i, 24.3595693763545 
58726.25475886, i, 24.3226739143898 
58726.23372955, i, 24.0923555985577 
58726.22456902, i, 24.3699497349607 
58726.22456902, i, 24.3469645651227 
58726.23034788, i, 24.1540289823204 
58726.25475886, i, 24.3192089210562 
58726.23372955, i, 24.1215483975314 
58726.23372955, i, 24.1846546319354 
58726.20954285, i, 23.9965198620145 
58726.25475886, i, 24.210946624471 
58726.22456902, i, 24.3515370325248 
58726.23034788, i, 24.1342064741825 
58726.23034788, i, 24.2005427920018 
58726.23034788, i, 24.1050861813693 
58726.20954285, i, 23.9782549185201 
58726.25475886, i, 24.3113974569428 
58726.25475886, i, 24.3024463517935 
58726.22456902, i, 24.3218026152048 
58726.22456902, i, 24.2558864813381 
58726.22456902, i, 24.3833568923016 
58726.22456902, i, 24.3464338910012 
58726.20954285, i, 24.0176531766444 
58726.25475886, i, 24.245333838322 
58726.22456902, i, 24.3691309756184 
58726.23034788, i, 24.1258115751361 
58726.23372955, i, 24.1434467394711 
58726.20954285, i, 24.0514392142312 
58726.23372955, i, 24.2052609244576 
58726.25475886, i, 24.2990691633469 
58726.23372955, i, 24.182339856561 
58726.20954285, i, 23.9859467562574 
58726.25475886, i, 24.2995259616645 
58726.23372955, i, 24.209666475918 
58726.25475886, i, 24.2842457835097 
58726.2514231, i, 24.284839363489 
58726.23034788, i, 24.190749658582 
58726.20954285, i, 24.0551199241931 
58726.23372955, i, 24.183329953359 
58726.25475886, i, 24.2570056075498 
58726.22456902, i, 24.3308047647182 
58726.23372955, i, 24.2166878992598 
58726.22456902, i, 24.3569746627317 
58726.23034788, i, 24.1089229126427 
58726.22456902, i, 24.3716232269343 
58726.23372955, i, 24.1426656138971 
58726.23034788, i, 24.176719897916 
